input_prompt,true_ans,closest_ans,exact solution found
Bi[[0000000000000000000000000][0111008001110000001000100][0101088000100010011101100][0111000801110000001000010][0000000000000000000000000][0110011101110111011101110][0010001001010010001001010][0011011101110111011101110][0000000000000000000000000][0111001000100000001000000][0010011101100010011100100][0111001000010000001000000][0000000000000000000000000][0010001001110010011000100][0111011001010111001001100][0010000101110010001100010][0000000000000000000000000]]to[[0000000000000000000000000][0111008007770000007000800][0101088000700070077708800][0111000807770000007000080][0000000000000000000000000][0110077701110111011107770][0010007001010010001007070][0011077701110111011107770][0000000000000000000000000][0111007000800000001000000][0010077708800010011100700][0111007000080000001000000][0000000000000000000000000][0010008007770070077000800][0111088007070777007008800][0010000807770070007700080][0000000000000000000000000]]i[[0000000000000000000000000][0100001001010110011100100][0111011101010111010101110][0001001001110011010100100][0000000000000000000000000][0101010101000101010101100][0101001001110101001001110][0111001000010111001000110][0000000000000000000000000][0110088800100100011100100][0111080801110111010101110][0011080800100001010100100][0000000000000000000000000][0100011001010010010001010][0111011101010111011100100][0001001101110010000100100][0000000000000000000000000]]to[[0000000000000000000000000][0100001001010110088800100][0111011101010111080801110][0001001001110011080800100][0000000000000000000000000][0101010101000101070701100][0101001001110101007001110][0111001000010111007000110][0000000000000000000000000][0110088800700700088800100][0111080807770777080801110][0011080800700007080800100][0000000000000000000000000][0100011001010010010001010][0111011101010111011100100][0001001101110010000100100][0000000000000000000000000]]EttttttTi[[0000000000000000000000000][0101001008880101011100100][0010011108080010010101110][0101001008880101011100100][0000000000000000000000000][0010010101010111001001010][0111001000100101011100100][0010010101010111001001010][0000000000000000000000000][0101011100100101010101110][0111010101110010011101010][0101011100100101010101110][0000000000000000000000000][0101010101010010011101010][0010011101110111010100100][0101010101010010011101010][0000000000000000000000000]]o,[[0000000000000000000000000][0101001008880707088800100][0010011108080070080801110][0101001008880707088800100][0000000000000000000000000][0010010101010888007001010][0111001000100808077700100][0010010101010888007001010][0000000000000000000000000][0101088800700707070708880][0111080807770070077708080][0101088800700707070708880][0000000000000000000000000][0101010101010010088801010][0010011101110111080800100][0101010101010010088801010][0000000000000000000000000]]F,[[000000000000000000000000][0110010088801010101000110][01001088800001000010101000][00000000000000000000000000000000][0000000000000000000000000][011003010301110011101001110][0111000101001010000100100][033330001010101001010100][0101011001001010110101010][0100000000000000000000000][010110111001011011101110][011010011010100110101010][0000000000000000000000000][01011030111011001110][010130110110010110101110][010000000000000000000000][00000000000000000000000000]]F,
Bi[[000050200000000][000050000002000][010050000000000][000050020000000][001050000000000][100050000000020][000050002000000]]to[[000000100500000][000000000502000][010000000500000][000000010500000][001000000500000][100000000500020][000000001500000]]i[[050000000000000][150020000002000][050020000200000][050000000000000][050000000000000][050000200000200][050000000000000]]to[[000500000000000][100520000002000][000520000200000][000500000000000][000500000000000][000500200000200][000500000000000]]EtttttTi[[000105200020000][010005020000000][000005000200020][000105000000200][000005002000000][100015000000002][000005200200000]]o,[[000100100015000][010000010005000][000000000105020][000100000005200][000000001005000][100010000005002][000000100105000]]F,[[000000010002200][000000001000000][000000000010000][000000000010000][002000000200000][100000200002000][100000000000000]]F,
Bi[[050000000000000][150020000002000][050020000200000][050000000000000][050000000000000][050000200000200][050000000000000]]to[[000500000000000][100520000002000][000520000200000][000500000000000][000500000000000][000500200000200][000500000000000]]i[[000105200020000][010005020000000][000005000200020][000105000000200][000005002000000][100015000000002][000005200200000]]to[[000100100015000][010000010005000][000000000105020][000100000005200][000000001005000][100010000005002][000000100105000]]EtttttTi[[000050200000000][000050000002000][010050000000000][000050020000000][001050000000000][100050000000020][000050002000000]]o,[[000000100500000][000000000502000][010000000500000][000000010500000][001000000500000][100000000500020][000000001500000]]F,[[000005002000000][000000502200000][010020500000000][010020000000000][100020000000000][100020000000020][102000000001020]]F,
Bi[[000050200000000][000050000002000][010050000000000][000050020000000][001050000000000][100050000000020][000050002000000]]to[[000000100500000][000000000502000][010000000500000][000000010500000][001000000500000][100000000500020][000000001500000]]i[[000500000000002][100502000000020][000500000002000][000500000000000][001500000200200][000500200000020][000500000000000]]to[[000000050000002][100002050000020][000000050002000][000000050000000][001000050200200][000000250000020][000000050000000]]EtttttTi[[000105200020000][010005020000000][000005000200020][000105000000200][000005002000000][100015000000002][000005200200000]]o,[[000100100015000][010000010005000][000000000105020][000100000005200][000000001005000][100010000005002][000000100105000]]F,[[001000002000000][000000000200000][000001002000000][001000000000000][000000000200000][100002000000000][100000100220000]]F,
Bi[[000500000000002][100502000000020][000500000002000][000500000000000][001500000200200][000500200000020][000500000000000]]to[[000000050000002][100002050000020][000000050002000][000000050000000][001000050200200][000000250000020][000000050000000]]i[[000050200000000][000050000002000][010050000000000][000050020000000][001050000000000][100050000000020][000050002000000]]to[[000000100500000][000000000502000][010000000500000][000000010500000][001000000500000][100000000500020][000000001500000]]EtttttTi[[000105200020000][010005020000000][000005000200020][000105000000200][000005002000000][100015000000002][000005200200000]]o,[[000100100015000][010000010005000][000000000105020][000100000005200][000000001005000][100010000005002][000000100105000]]F,[[001000522000000][010005201000020][000005000000000][000000000000000][020000102002220][100015000100020][000000000000000]]F,
Bi[[000050200000000][000050000002000][010050000000000][000050020000000][001050000000000][100050000000020][000050002000000]]to[[000000100500000][000000000502000][010000000500000][000000010500000][001000000500000][100000000500020][000000001500000]]i[[000500000000002][100502000000020][000500000002000][000500000000000][001500000200200][000500200000020][000500000000000]]to[[000000050000002][100002050000020][000000050002000][000000050000000][001000050200200][000000250000020][000000050000000]]EtttttTi[[050000000000000][150020000002000][050020000200000][050000000000000][050000000000000][050000200000200][050000000000000]]o,[[000500000000000][100520000002000][000520000200000][000500000000000][000500000000000][000500200000200][000500000000000]]F,[[000000000000000][150002000000020][010000001200000][010000000000000][000000000000000][000201000002000][000000000000000]]F,
Bi[[000500000000002][100502000000020][000500000002000][000500000000000][001500000200200][000500200000020][000500000000000]]to[[000000050000002][100002050000020][000000050002000][000000050000000][001000050200200][000000250000020][000000050000000]]i[[000050200000000][000050000002000][010050000000000][000050020000000][001050000000000][100050000000020][000050002000000]]to[[000000100500000][000000000502000][010000000500000][000000010500000][001000000500000][100000000500020][000000001500000]]EtttttTi[[050000000000000][150020000002000][050020000200000][050000000000000][050000000000000][050000200000200][050000000000000]]o,[[000500000000000][100520000002000][000520000200000][000500000000000][000500000000000][000500200000200][000500000000000]]F,[[000000000000000][050000000100022][000500000000002][050000000000000][005100002004000][050000000000020][000000000000000]]F,
Bi[[000050200000000][000050000002000][010050000000000][000050020000000][001050000000000][100050000000020][000050002000000]]to[[000000100500000][000000000502000][010000000500000][000000010500000][001000000500000][100000000500020][000000001500000]]i[[050000000000000][150020000002000][050020000200000][050000000000000][050000000000000][050000200000200][050000000000000]]to[[000500000000000][100520000002000][000520000200000][000500000000000][000500000000000][000500200000200][000500000000000]]EtttttTi[[005200020020020][105000200000000][005000002000002][005020000002000][015000002000200][105200000000000][005000200020002]]o,[[000105020020020][100005200000000][000005002000002][000015000002000][010005002000200][100105000000000][000005200020002]]F,[[000520005200000][0100000200000][00000000001000200][005000000000000][000020300050200][110000000000000][005500200000200]]F,
Bi[[000050200000000][000050000002000][010050000000000][000050020000000][001050000000000][100050000000020][000050002000000]]to[[000000100500000][000000000502000][010000000500000][000000010500000][001000000500000][100000000500020][000000001500000]]i[[005200020020020][105000200000000][005000002000002][005020000002000][015000002000200][105200000000000][005000200020002]]to[[000105020020020][100005200000000][000005002000002][000015000002000][010005002000200][100105000000000][000005200020002]]EtttttTi[[050000000000000][150020000002000][050020000200000][050000000000000][050000000000000][050000200000200][050000000000000]]o,[[000500000000000][100520000002000][000520000200000][000500000000000][000500000000000][000500200000200][000500000000000]]F,[[001000002220000][051000002000000][000510002000000][000000000000000][001000200010200][050000000000000][001000200010200]]F,
Bi[[000050200000000][000050000002000][010050000000000][000050020000000][001050000000000][100050000000020][000050002000000]]to[[000000100500000][000000000502000][010000000500000][000000010500000][001000000500000][100000000500020][000000001500000]]i[[005200020020020][105000200000000][005000002000002][005020000002000][015000002000200][105200000000000][005000200020002]]to[[000105020020020][100005200000000][000005002000002][000015000002000][010005002000200][100105000000000][000005200020002]]EtttttTi[[000500000000002][100502000000020][000500000002000][000500000000000][001500000200200][000500200000020][000500000000000]]o,[[000000050000002][100002050000020][000000050002000][000000050000000][001000050200200][000000250000020][000000050000000]]F,[[000000100000200][000500001000002][000000102000002][000000001000200][000011000020200][000000000000000][001002000230000]]F,
Bi[[000500000000002][100502000000020][000500000002000][000500000000000][001500000200200][000500200000020][000500000000000]]to[[000000050000002][100002050000020][000000050002000][000000050000000][001000050200200][000000250000020][000000050000000]]i[[005200020020020][105000200000000][005000002000002][005020000002000][015000002000200][105200000000000][005000200020002]]to[[000105020020020][100005200000000][000005002000002][000015000002000][010005002000200][100105000000000][000005200020002]]EtttttTi[[000050200000000][000050000002000][010050000000000][000050020000000][001050000000000][100050000000020][000050002000000]]o,[[000000100500000][000000000502000][010000000500000][000000010500000][001000000500000][100000000500020][000000001500000]]F,[[020002011205200][010050000000020][001000000000200][001000000000020][000050000000220][100050000000020][100050000000020]]F,
Bi[[000500000000002][100502000000020][000500000002000][000500000000000][001500000200200][000500200000020][000500000000000]]to[[000000050000002][100002050000020][000000050002000][000000050000000][001000050200200][000000250000020][000000050000000]]i[[000105200020000][010005020000000][000005000200020][000105000000200][000005002000000][100015000000002][000005200200000]]to[[000100100015000][010000010005000][000000000105020][000100000005200][000000001005000][100010000005002][000000100105000]]EtttttTi[[050000000000000][150020000002000][050020000200000][050000000000000][050000000000000][050000200000200][050000000000000]]o,[[000500000000000][100520000002000][000520000200000][000500000000000][000500000000000][000500200000200][000500000000000]]F,[[050000000002200][010020000000220][005000000000200][000500000000000][020003000000000][050303000020000][050000050000020]]F,
Bi[[050000000000000][150020000002000][050020000200000][050000000000000][050000000000000][050000200000200][050000000000000]]to[[000500000000000][100520000002000][000520000200000][000500000000000][000500000000000][000500200000200][000500000000000]]i[[005200020020020][105000200000000][005000002000002][005020000002000][015000002000200][105200000000000][005000200020002]]to[[000105020020020][100005200000000][000005002000002][000015000002000][010005002000200][100105000000000][000005200020002]]EtttttTi[[000105200020000][010005020000000][000005000200020][000105000000200][000005002000000][100015000000002][000005200200000]]o,[[000100100015000][010000010005000][000000000105020][000100000005200][000000001005000][100010000005002][000000100105000]]F,[[000010022200000][010000102000000][000000052000000][000001002000020][000000051000000][102200000000002][000000100020000]]F,
Bi[[005200020020020][105000200000000][005000002000002][005020000002000][015000002000200][105200000000000][005000200020002]]to[[000105020020020][100005200000000][000005002000002][000015000002000][010005002000200][100105000000000][000005200020002]]i[[000105200020000][010005020000000][000005000200020][000105000000200][000005002000000][100015000000002][000005200200000]]to[[000100100015000][010000010005000][000000000105020][000100000005200][000000001005000][100010000005002][000000100105000]]EtttttTi[[000500000000002][100502000000020][000500000002000][000500000000000][001500000200200][000500200000020][000500000000000]]o,[[000000050000002][100002050000020][000000050002000][000000050000000][001000050200200][000000250000020][000000050000000]]F,[[000000022000000][100005020000020][000000002000200][000010000000000][000000102030000][000500000000000][201052005200200]]F,
Bi[[221699994451445555441544999961][116399195315143553415135919936][261291995434534114354345991921][631299994554554444554554999921][888822364155844444485514632288][885811614435934444395344161185][858836125344493443944435216388][888862125514949889494155212688][455444551919868668689191554445][434514358399688888869938534154][513553419939888668889399143553][154455449381686886861839445544][415589499988199999918899949855][443543949928839119388299493453][534444398299393993939928934444][551444488899998118999988844441][551444488899998118977988844441][534444398299393993977928934444][443543949928839119377299493453][415589499988199999977899949855][154455449381686886877839445544][513553419939888668877399143553][434514358399688888877938534154][455444551919868668677191554445][888862125514949889477155212688][858836125344493443977435216388][885811614435934444395344161185][888822364155844444485514632288][631299994554554444554554999921][261291995434534114354345991921]]to[[99][39][88][18][61][89][69][89][94][44]]i[[318868868889999999999888688688][238386188998298888928998816838][183181684898989889898984861813][822368868488989999898848688632][388331389299989889899929831338][831823889988848998488899883281][813828319899954884599989138283][388381239889598998959889321838][884899992988525115258892999984][898429888283254554523828889248][899898988829545225459288898989][988898998882152552512888998988][929998958868293883928688598999][998884598846828888286488954888][989998486488882992888846848999][988989898688888228888868989898][988989898688888228888868989898][989998486488882992888846848999][998884598846828888286488954888][929998958868293883928688598999][988898998882152552512888998988][899898988829545225459288898989][898429888283254554523828889248][884899992988525115258892999984][388387777889598998959889321838][813827777899954884599989138283][831827777988848998488899883281][388337777299989889899929831338][822368868488989999898848688632][183181684898989889898984861813]]to[[1239][8319][3889][1389]]EttttttTi[[332289988555133113315777779822][112198895255311991135777778912][221398898525319229135777778931][291389985858191991918777779831][838133121331949889491777773318][383811223119288998829777771183][838392133191998448991777772938][183822131929992992999291312283][858513313262996996992623133158][525831191122994664992211911385][552531926312649999462136291352][555819193613969999693163919185][133192998432322222232348992913][311948994823112662113284998491][319198823284631221364823288919][192989492348361331638432949892][192989492348361331638432949892][319198823284631221364823288919][311948994823112662113284998491][133192998432322222232348992913][555819193613969999693163919185][552531926312649999462136291352][525831191122994664992211911385][858513313262996996992623133158][183822131929992992999291312283][838392133191998448991913312938][383811223119288998829113221183][838133121331949889491331213318][291389985858191991918585899831][221398898525319229135258988931]]o,[[55889][52598][25898][58589][33121][11322][91331]]F,[[131444][441414][411414][133321][121222][2222222]]F,
